Hour_Key,Hour_Start_Time,Hour_End_Time
0,0:00:00,0:59:59
1,1:00:00,1:59:59
2,2:00:00,2:59:59
3,3:00:00,3:59:59
4,4:00:00,4:59:59
5,5:00:00,5:59:59
6,6:00:00,6:59:59
7,7:00:00,7:59:59
8,8:00:00,8:59:59
9,9:00:00,9:59:59
10,10:00:00,10:59:59
11,11:00:00,11:59:59
12,12:00:00,12:59:59
13,13:00:00,13:59:59
14,14:00:00,14:59:59
15,15:00:00,15:59:59
16,16:00:00,16:59:59
17,17:00:00,17:59:59
18,18:00:00,18:59:59
19,19:00:00,19:59:59
20,20:00:00,20:59:59
21,21:00:00,21:59:59
22,22:00:00,22:59:59
23,23:00:00,23:59:59
